0,1,0,0,0.69315
1,0.71828,1,1,0.30685
2,0.67459,0.71828,0.28172,0.41143
3,0.60208,0.67459,0.95631,0.26317
4,0.57492,0.60208,0.35423,0.33892
5,0.53235,0.57492,0.92915,0.236
6,0.51295,0.53235,0.3968,0.29635
7,0.48368,0.51295,0.90974,0.2166
8,0.46879,0.48368,0.42606,0.26709
9,0.44696,0.46879,0.89485,0.2017
10,0.435,0.44696,0.44788,0.24526
11,0.41787,0.435,0.88289,0.18974
12,0.40796,0.41787,0.46502,0.22813
13,0.39402,0.40796,0.87298,0.17983
14,0.38562,0.39402,0.47895,0.2142
15,0.37399,0.38562,0.86457,0.17142
16,0.36673,0.37399,0.49058,0.20256
17,0.35682,0.36673,0.85731,0.16417
18,0.35047,0.35682,0.50049,0.19265
