0,0,1,1,0
1,0,2,2,0
2,1,2.2857,2.2857,0
3,0.28571,2.5276,2.5276,0.13288
4,0.2419,2.7422,2.7422,0.71908
5,0.21461,2.9375,2.9375,0.78681
6,0.19532,3.1182,3.1182,0.82733
7,0.18068,3.2873,3.2873,0.85455
8,0.16904,3.4467,3.4467,0.87419
9,0.15948,3.5982,3.5982,0.88905
10,0.15144,3.7427,3.7427,0.90071
11,0.14454,3.8813,3.8813,0.91012
12,0.13854,4.0145,4.0145,0.91786
13,0.13325,4.143,4.143,0.92436
14,0.12854,4.2674,4.2674,0.92989
15,0.12431,4.3878,4.3878,0.93466
16,0.12048,4.5048,4.5048,0.93881
17,0.11699,4.6186,4.6186,0.94246
18,0.1138,4.7295,4.7295,0.94569
19,0.11086,4.8376,4.8376,0.94858
20,0.10814,4.9432,4.9432,0.95117
21,0.10561,5.0465,5.0465,0.95351
22,0.10326,5.1475,5.1475,0.95563
23,0.10106,5.2465,5.2465,0.95756
24,0.099002,5.3436,5.3436,0.95934
25,0.097064,5.4388,5.4388,0.96096
26,0.095237,5.5324,5.5324,0.96247
27,0.093512,5.6242,5.6242,0.96386
28,0.091878,5.7146,5.7146,0.96514
29,0.090329,5.8034,5.8034,0.96634
30,0.088856,5.8909,5.8909,0.96746
